section	chapter	name	kind	arity	req_arity	params	shape	discriminating	note
19.2.1	19	eval	global	1	1	x	UNARY	no	
19.2.2	19	isFinite	global	1	1	number	UNARY	no	
19.2.3	19	isNaN	global	1	1	number	UNARY	no	
19.2.4	19	parseFloat	global	1	1	string	UNARY	no	
19.2.5	19	parseInt	global	2	2	string|radix	D-FIRST	yes	string=D, radix=C
19.2.6.1	19	decodeURI	global	1	1	encodedURI	UNARY	no	
19.2.6.2	19	decodeURIComponent	global	1	1	encodedURIComponent	UNARY	no	
19.2.6.3	19	encodeURI	global	1	1	uri	UNARY	no	
19.2.6.4	19	encodeURIComponent	global	1	1	uriComponent	UNARY	no	
19.3.1	19	AggregateError	global	1	1	 . .	UNARY	no	
19.3.2	19	Array	global	1	1	 . .	UNARY	no	
19.3.3	19	ArrayBuffer	global	1	1	 . .	UNARY	no	
19.3.4	19	BigInt	global	1	1	 . .	UNARY	no	
19.3.5	19	BigInt64Array	global	1	1	 . .	UNARY	no	
19.3.6	19	BigUint64Array	global	1	1	 . .	UNARY	no	
19.3.7	19	Boolean	global	1	1	 . .	UNARY	no	
19.3.8	19	DataView	global	1	1	 . .	UNARY	no	
19.3.9	19	Date	global	1	1	 . .	UNARY	no	
19.3.10	19	Error	global	1	1	 . .	UNARY	no	
19.3.11	19	EvalError	global	1	1	 . .	UNARY	no	
19.3.12	19	FinalizationRegistry	global	1	1	 . .	UNARY	no	
19.3.13	19	Float16Array	global	1	1	 . .	UNARY	no	
19.3.14	19	Float32Array	global	1	1	 . .	UNARY	no	
19.3.15	19	Float64Array	global	1	1	 . .	UNARY	no	
19.3.16	19	Function	global	1	1	 . .	UNARY	no	
19.3.17	19	Int8Array	global	1	1	 . .	UNARY	no	
19.3.18	19	Int16Array	global	1	1	 . .	UNARY	no	
19.3.19	19	Int32Array	global	1	1	 . .	UNARY	no	
19.3.20	19	Iterator	global	1	1	 . .	UNARY	no	
19.3.21	19	Map	global	1	1	 . .	UNARY	no	
19.3.22	19	Number	global	1	1	 . .	UNARY	no	
19.3.23	19	Object	global	1	1	 . .	UNARY	no	
19.3.24	19	Promise	global	1	1	 . .	UNARY	no	
19.3.25	19	Proxy	global	1	1	 . .	UNARY	no	
19.3.26	19	RangeError	global	1	1	 . .	UNARY	no	
19.3.27	19	ReferenceError	global	1	1	 . .	UNARY	no	
19.3.28	19	RegExp	global	1	1	 . .	UNARY	no	
19.3.29	19	Set	global	1	1	 . .	UNARY	no	
19.3.30	19	SharedArrayBuffer	global	1	1	 . .	UNARY	no	
19.3.31	19	String	global	1	1	 . .	UNARY	no	
19.3.32	19	Symbol	global	1	1	 . .	UNARY	no	
19.3.33	19	SyntaxError	global	1	1	 . .	UNARY	no	
19.3.34	19	TypeError	global	1	1	 . .	UNARY	no	
